"Cleanup ID",Zone,State,Country,GPS,"Cleanup Type",Environment,"Cleanup Date","Group Name",Adults,Children,People,Pounds,Miles,"# of bags","Grocery bags (plastic)","Other bags (plastic)","Beverage bottles (glass)","Beverage bottles (plastic)","Beverage cans","Beverage sachets/pouches","Bottle caps (metal)","Bottle caps (plastic)","Cigarette butts","Cups, Plates (foam)","Cups, Plates (paper)","Cups, Plates (plastic)","Food containers (foam)","Food containers (plastic)","Food wrappers (candy, chips, etc.)","Lids (plastic)","Straws/stirrers (plastic)","Utensils (plastic)","Lines, nets, traps, ropes, etc.","Foam dock pieces","Appliances (refrigerators, washers, etc.)","Construction materials",Tires,"6-Pack holders","Foam packaging","Other plastic bottles (oil, bleach, etc.)","Strapping bands",Balloons,Clothing,E-cigarettes,"Electronic waste (phones, batteries)","Footwear (shoes/slippers)","Paper bags","Tobacco products (lighters, cigar tips, wrap)",Toys,"Other plastic waste","Other waste (metal, paper, etc.)",Condoms,"Cotton bud sticks (swabs)",Diapers,"Gloves & masks (PPE)",Syringes,"Tampons & applicators","Plastic/foam pieces","Fishing buoys, pots & traps","Fishing net & pieces","Fishing line (1 yard/meter = 1 piece)","Rope (1 yard/meter = 1 piece)","Fishing gear (Clean Swell)","Other plastic/foam packaging","Tobacco packaging/wrap","Other packaging (Clean Swell)","Cigar tips","Cigarette lighters",Fireworks,"Other trash (Clean Swell)","Other tobacco (packaging, lighter, etc.)","Personal hygiene (Clean Swell)","Foam pieces","Glass pieces","Plastic pieces","Total Items Collected"
257470,"Santa Barbara County, CA, USA","California, USA","United States","34.374038558485, -119.47867652412",land,,2023-01-15,Robin,1,,1,64.756,0,,3,4,5,8,,4,3,5,,4,4,4,4,4,4,6,11,2,6,2,,5,,2,2,5,5,,1,,,,,,,4,4,,,,,,,11,,,,,,,,,,,,,,,,,,122
257478,"San Mateo County, CA, USA","California, USA","United States","37.589420999087, -122.50159085824",land,,2023-01-05,"Pacifica beach coalition",2,,2,0.211,0.46490967251167,,,,,1,,1,,,1,1,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
257479,"San Mateo County, CA, USA","California, USA","United States","37.59091686135, -122.49720972507",land,,2023-01-15,"Pacifica beach coalition",1,,1,17.749,0,,,,,,2,,,,,,,,,,,,,,2,,,1,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,8
257480,"Los Angeles County, CA, USA","California, USA","United States","33.978420523958, -118.46654143195",land,,2023-01-15,"kevin calvert",1,,1,21.285,1.0975154628398,,7,3,4,24,9,2,8,11,6,11,5,4,6,7,10,7,11,5,,,,,,2,1,,,,11,2,,6,5,6,15,5,4,,1,,12,,,25,,,,,,,,,,,,,,,,,,235
257481,"San Diego County, CA, USA","California, USA","United States","32.850164923606, -117.27309790415",land,,2023-01-15,"Au pair weekend",4,,4,0.503,0,,,,,,,1,,,4,,4,5,,,4,,,4,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,23
257490,"Los Angeles County, CA, USA","California, USA","United States","33.976848078923, -118.46510686923",land,,2023-01-15,"kevin calvert",1,,1,28.043,1.9496801430053,,4,5,,15,12,1,7,22,1,8,10,5,5,4,31,7,8,5,1,3,,3,,1,1,,,,2,1,2,3,2,2,5,2,3,,,,5,,,32,,,,,,,,,,,,,,,,,,218
257494,"San Diego County, CA, USA","California, USA","United States","32.849976825547, -117.27471949011",land,,2023-01-15,,4,,4,32.293,0.062536632913591,,2,,10,7,13,7,1,,3,1,3,7,2,,2,1,5,12,,,,,1,1,,1,2,,2,,,4,,2,2,4,6,,1,1,,,,13,,,,,,,,,,,,,,,,,,116
257509,"San Diego County, CA, USA","California, USA","United States","32.848549697877, -117.27040126341",land,,2023-01-16,"ocean geoup",1,,1,1.295,0,,2,,2,2,1,,,2,3,,,,,,,1,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,19
257511,"Mendocino County, CA, USA","California, USA","United States","39.4012392191, -123.81020726175",land,,2023-01-16,"Noyo Center for Marine Science",1,,1,7.51,0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,1,,,,,,,,,4,,,,,,,,,,,,,,,,,,7
257514,"Alameda County, CA, USA","California, USA","United States","37.805760071383, -122.32853848959",land,,2023-01-16,"girl scout troop 33591",7,,7,17.806,1.6712572087865,,6,6,,1,,6,,120,7,,5,1,,,23,22,12,5,,10,,,,,,,,1,,,,1,,6,5,,2,,,,2,3,8,5,,,,,,,,,,,,,,,,,,257
